vacunados,Dosis-disp,completos,Fecha,Una dosis,date,strfecha,new_vaccines,smooth,Por100
71654978.0,91121345.0,27134249.0,07/08/21,50571586.0,2021-08-07,2021-08-07,846592.0,743750.2106214784,56.8627012498228
72132661.0,91121345.0,27363404.0,08/08/21,50835215.0,2021-08-08,2021-08-08,477683.0,692492.3913504701,57.241772550648804
72488230.0,91237045.0,27502230.0,09/08/21,51061391.0,2021-08-09,2021-08-09,355569.0,647568.0539654867,57.52393876414898
72986350.0,91526035.0,27677695.0,10/08/21,51404453.0,2021-08-10,2021-08-10,498120.0,647548.6960658538,57.91922810115166
73771750.0,92111035.0,28011649.0,11/08/21,51914599.0,2021-08-11,2021-08-11,785400.0,694977.0619273845,58.542492064216596
74802779.0,92111035.0,28384141.0,12/08/21,52624341.0,2021-08-12,2021-08-12,1031029.0,755337.3308662198,59.36067798295212
75780229.0,92111035.0,28746570.0,13/08/21,53298457.0,2021-08-13,2021-08-13,977450.0,787207.9871258326,60.13634561816707
76587422.0,92111035.0,29046598.0,14/08/21,53837225.0,2021-08-14,2021-08-14,807193.0,769087.1834946594,60.77690368811649
77225451.0,92261035.0,29239686.0,15/08/21,54305039.0,2021-08-15,2021-08-15,638029.0,709906.4583770309,61.28321955657888
77573466.0,92261035.0,29402096.0,16/08/21,54532420.0,2021-08-16,2021-08-16,348015.0,641578.1464825305,61.559391199189065
78098989.0,93407915.0,29629517.0,17/08/21,54872594.0,2021-08-17,2021-08-17,525523.0,592768.0282911909,61.976426528526694
78765073.0,93992915.0,29903441.0,18/08/21,55307523.0,2021-08-18,2021-08-18,666084.0,566953.6206819752,62.50500579205375
79399398.0,93992915.0,30219721.0,19/08/21,55643238.0,2021-08-19,2021-08-19,634325.0,547666.3512900474,63.00838230513137
79933762.0,93992915.0,30438435.0,20/08/21,55928566.0,2021-08-20,2021-08-20,534364.0,516593.7609746797,63.432433520256446
80404167.0,93992915.0,30746818.0,21/08/21,56165373.0,2021-08-21,2021-08-21,470405.0,471889.2852146731,63.80572927343388
80683665.0,93992915.0,30919930.0,22/08/21,56277083.0,2021-08-22,2021-08-22,279498.0,431398.3445488664,64.02752839636325
80886612.0,93992915.0,30991824.0,23/08/21,56409551.0,2021-08-23,2021-08-23,202947.0,417911.3986810484,64.18857951873674
81274760.0,96826355.0,31219643.0,24/08/21,56575083.0,2021-08-24,2021-08-24,388148.0,446218.6864447979,64.49659920391083
81923702.0,97411355.0,31703790.0,25/08/21,56742139.0,2021-08-25,2021-08-25,648942.0,504980.0283354513,65.0115752195962
82678717.0,97411355.0,32278249.0,26/08/21,56925095.0,2021-08-26,2021-08-26,755015.0,560114.066591266,65.61072678704396
83433577.0,97411355.0,32801616.0,27/08/21,57164235.0,2021-08-27,2021-08-27,754860.0,580080.0275658572,66.20975535230905
84026447.0,97411355.0,33220439.0,28/08/21,57343646.0,2021-08-28,2021-08-28,592870.0,552440.8920152733,66.68023473323889
84379551.0,97411355.0,33489676.0,29/08/21,57440626.0,2021-08-29,2021-08-29,353104.0,493124.7132338187,66.96044481525325
84549082.0,98054855.0,33620717.0,30/08/21,57547462.0,2021-08-30,2021-08-30,169531.0,433746.4072027179,67.09497825416638
84946443.0,98842265.0,33922392.0,31/08/21,57798967.0,2021-08-31,2021-08-31,397361.0,401264.746587457,67.41030903036634
85375481.0,103296665.0,34282292.0,01/09/21,58008815.0,2021-09-01,2021-09-01,429038.0,397130.1470108081,67.75077748489326
85845792.0,103296665.0,34656277.0,02/09/21,58238589.0,2021-09-02,2021-09-02,470311.0,405271.7436670798,68.12399864319863
86307586.0,103296665.0,35032194.0,03/09/21,58472846.0,2021-09-03,2021-09-03,461794.0,409478.9384392984,68.49046102995648
86793531.0,103296665.0,35425324.0,04/09/21,58749621.0,2021-09-04,2021-09-04,485945.0,406246.010914467,68.87608874390044
87014220.0,103296665.0,35623880.0,05/09/21,58906303.0,2021-09-05,2021-09-05,220689.0,409094.1966559627,69.05121925159695
87224714.0,104296965.0,35813552.0,06/09/21,59059884.0,2021-09-06,2021-09-06,210494.0,439889.4174604193,69.21825938992313
87750381.0,104269965.0,36190731.0,07/09/21,59334972.0,2021-09-07,2021-09-07,525667.0,513326.65159747883,69.63540899225629
88593229.0,104854965.0,36864200.0,08/09/21,59614774.0,2021-09-08,2021-09-08,842848.0,611223.2324885731,70.30426153203393
89500945.0,106376715.0,37513581.0,09/09/21,59925105.0,2021-09-09,2021-09-09,907716.0,695832.067369295,71.02459088204341
90366606.0,106376715.0,38161378.0,10/09/21,60186714.0,2021-09-10,2021-09-10,865661.0,736954.1748169019,71.7115469624238
91182279.0,106376715.0,38782067.0,11/09/21,60468615.0,2021-09-11,2021-09-11,815673.0,729215.8607062376,72.3588344421094
91720391.0,106376715.0,39070943.0,12/09/21,60759845.0,2021-09-12,2021-09-12,538112.0,687935.3266181162,72.78585992936786
92080595.0,106576715.0,39319931.0,13/09/21,60921470.0,2021-09-13,2021-09-13,360204.0,639239.1897399392,73.07170430491134
92749295.0,106804865.0,39850745.0,14/09/21,61175097.0,2021-09-14,2021-09-14,668700.0,605883.8896912774,73.60235952785699
93588719.0,107389865.0,40532869.0,15/09/21,61407799.0,2021-09-15,2021-09-15,839424.0,579079.3930573331,74.26849490974115
94144251.0,109473465.0,40997724.0,16/09/21,61573170.0,2021-09-16,2021-09-16,555532.0,543806.2069565488,74.70934425520765
94300526.0,109473465.0,41115211.0,17/09/21,61616895.0,2021-09-17,2021-09-17,156275.0,499464.53077249526,74.83335823003318
94858068.0,109473465.0,41463209.0,18/09/21,61886401.0,2021-09-18,2021-09-18,557542.0,464374.5933738421,75.27580263606215
95271399.0,109473465.0,41698947.0,19/09/21,62089019.0,2021-09-19,2021-09-19,413331.0,451991.7786537073,75.60380660489027
95638622.0,109473465.0,41918336.0,20/09/21,62254786.0,2021-09-20,2021-09-20,367223.0,466980.73607863113,75.89522099540287
96080633.0,111541615.0,42200082.0,21/09/21,62466037.0,2021-09-21,2021-09-21,442011.0,507475.34182149125,76.24598433583868
