,Casos,Defunciones,Casospor100k,Defpor100k,FECHAS
2020-08-20,2133.0,94.0,9.77143007925624,0.4306209223863509,2020-08-20
2020-08-21,1367.0,93.0,6.26232766917172,0.4260398487439429,2020-08-21
2020-08-22,1085.0,90.0,4.970464902012667,0.41229662781671894,2020-08-22
2020-08-23,995.0,117.0,4.558168274195948,0.5359856161617346,2020-08-23
2020-08-24,1506.0,90.0,6.89909690546643,0.41229662781671894,2020-08-24
2020-08-25,1572.0,99.0,7.201447765865358,0.45352629059839084,2020-08-25
2020-08-26,1298.0,74.0,5.946233587845569,0.3389994495381911,2020-08-26
2020-08-27,1377.0,90.0,6.3081384055958,0.41229662781671894,2020-08-27
2020-08-28,1843.0,101.0,8.442918722957922,0.4626884378832068,2020-08-28
2020-08-29,1079.0,102.0,4.942978460158219,0.4672695115256148,2020-08-29
2020-08-30,1210.0,85.0,5.543099107313666,0.389391259604679,2020-08-30
2020-08-31,1511.0,89.0,6.92200227367847,0.40771555417431093,2020-08-31
2020-09-01,2184.0,105.0,10.005064835019047,0.48101273245283876,2020-09-01
2020-09-02,1461.0,98.0,6.69294859155807,0.44894521695598283,2020-09-02
2020-09-03,1268.0,94.0,5.808801378573329,0.4306209223863509,2020-09-03
2020-09-04,1355.0,86.0,6.207354785462824,0.39397233324708697,2020-09-04
2020-09-05,1318.0,94.0,6.037855060693729,0.4306209223863509,2020-09-05
2020-09-06,937.0,106.0,4.292466002936285,0.48559380609524677,2020-09-06
2020-09-07,1353.0,86.0,6.198192638178008,0.39397233324708697,2020-09-07
2020-09-08,1363.0,78.0,6.244003374602088,0.3573237441078231,2020-09-08
2020-09-09,1281.0,92.0,5.868355335924633,0.4214587751015349,2020-09-09
2020-09-10,1631.0,90.0,7.471731110767429,0.41229662781671894,2020-09-10
2020-09-11,1165.0,96.0,5.336950793405307,0.43978306967116687,2020-09-11
2020-09-12,920.0,101.0,4.214587751015349,0.4626884378832068,2020-09-12
