,Casos,Defunciones,Casospor100k,Defpor100k,FECHAS
2020-06-11,98.0,10.0,6.832682253083945,0.6972124748044842,2020-06-11
2020-06-12,73.0,7.0,5.089651066072735,0.48804873236313895,2020-06-12
2020-06-13,77.0,7.0,5.368536055994528,0.48804873236313895,2020-06-13
2020-06-14,111.0,9.0,7.739058470329774,0.6274912273240357,2020-06-14
2020-06-15,109.0,8.0,7.599615975368878,0.5577699798435873,2020-06-15
2020-06-16,90.0,9.0,6.274912273240358,0.6274912273240357,2020-06-16
2020-06-17,113.0,12.0,7.878500965290671,0.836654969765381,2020-06-17
2020-06-18,109.0,1.0,7.599615975368878,0.06972124748044842,2020-06-18
2020-06-19,91.0,3.0,6.344633520720806,0.20916374244134525,2020-06-19
2020-06-20,87.0,1.0,6.065748530799013,0.06972124748044842,2020-06-20
2020-06-21,127.0,10.0,8.85459843001695,0.6972124748044842,2020-06-21
2020-06-22,158.0,8.0,11.01595710191085,0.5577699798435873,2020-06-22
2020-06-23,134.0,4.0,9.342647162380088,0.27888498992179367,2020-06-23
2020-06-24,140.0,8.0,9.76097464726278,0.5577699798435873,2020-06-24
2020-06-25,96.0,4.0,6.693239758123048,0.27888498992179367,2020-06-25
2020-06-26,171.0,9.0,11.92233331915668,0.6274912273240357,2020-06-26
2020-06-27,82.0,6.0,5.71714229339677,0.4183274848826905,2020-06-27
2020-06-28,133.0,10.0,9.27292591489964,0.6972124748044842,2020-06-28
2020-06-29,132.0,10.0,9.203204667419191,0.6972124748044842,2020-06-29
2020-06-30,122.0,8.0,8.505992192614707,0.5577699798435873,2020-06-30
2020-07-01,126.0,7.0,8.784877182536501,0.48804873236313895,2020-07-01
2020-07-02,85.0,4.0,5.926306035838116,0.27888498992179367,2020-07-02
2020-07-03,122.0,11.0,8.505992192614707,0.7669337222849326,2020-07-03
2020-07-04,61.0,8.0,4.252996096307354,0.5577699798435873,2020-07-04
2020-07-05,69.0,6.0,4.810766076150941,0.4183274848826905,2020-07-05
2020-07-06,155.0,11.0,10.806793359469506,0.7669337222849326,2020-07-06
2020-07-07,111.0,13.0,7.739058470329774,0.9063762172458294,2020-07-07
2020-07-08,76.0,9.0,5.29881480851408,0.6274912273240357,2020-07-08
2020-07-09,124.0,5.0,8.645434687575603,0.3486062374022421,2020-07-09
2020-07-10,161.0,7.0,11.225120844352196,0.48804873236313895,2020-07-10
2020-07-11,82.0,11.0,5.71714229339677,0.7669337222849326,2020-07-11
2020-07-12,110.0,3.0,7.669337222849326,0.20916374244134525,2020-07-12
2020-07-13,140.0,5.0,9.76097464726278,0.3486062374022421,2020-07-13
2020-07-14,104.0,12.0,7.251009737966635,0.836654969765381,2020-07-14
2020-07-15,141.0,10.0,9.830695894743227,0.6972124748044842,2020-07-15
2020-07-16,95.0,11.0,6.6235185106426,0.7669337222849326,2020-07-16
2020-07-17,100.0,6.0,6.972124748044842,0.4183274848826905,2020-07-17
2020-07-18,101.0,5.0,7.04184599552529,0.3486062374022421,2020-07-18
2020-07-19,87.0,8.0,6.065748530799013,0.5577699798435873,2020-07-19
2020-07-20,195.0,13.0,13.595643258687442,0.9063762172458294,2020-07-20
2020-07-21,104.0,13.0,7.251009737966635,0.9063762172458294,2020-07-21
2020-07-22,69.0,12.0,4.810766076150941,0.836654969765381,2020-07-22
2020-07-23,84.0,8.0,5.856584788357667,0.5577699798435873,2020-07-23
2020-07-24,108.0,3.0,7.529894727888429,0.20916374244134525,2020-07-24
2020-07-25,81.0,9.0,5.647421045916322,0.6274912273240357,2020-07-25
2020-07-26,55.0,6.0,3.834668611424663,0.4183274848826905,2020-07-26
2020-07-27,115.0,7.0,8.017943460251567,0.48804873236313895,2020-07-27
2020-07-28,89.0,8.0,6.205191025759909,0.5577699798435873,2020-07-28
2020-07-29,89.0,5.0,6.205191025759909,0.3486062374022421,2020-07-29
2020-07-30,93.0,11.0,6.484076015681703,0.7669337222849326,2020-07-30
2020-07-31,74.0,12.0,5.159372313553183,0.836654969765381,2020-07-31
2020-08-01,114.0,10.0,7.94822221277112,0.6972124748044842,2020-08-01
2020-08-02,71.0,9.0,4.950208571111838,0.6274912273240357,2020-08-02
2020-08-03,105.0,9.0,7.320730985447084,0.6274912273240357,2020-08-03
2020-08-04,78.0,13.0,5.438257303474977,0.9063762172458294,2020-08-04
2020-08-05,80.0,8.0,5.577699798435874,0.5577699798435873,2020-08-05
2020-08-06,87.0,4.0,6.065748530799013,0.27888498992179367,2020-08-06
2020-08-07,94.0,11.0,6.553797263162151,0.7669337222849326,2020-08-07
2020-08-08,65.0,7.0,4.531881086229148,0.48804873236313895,2020-08-08
2020-08-09,72.0,8.0,5.019929818592286,0.5577699798435873,2020-08-09
2020-08-10,107.0,7.0,7.460173480407981,0.48804873236313895,2020-08-10
2020-08-11,84.0,9.0,5.856584788357667,0.6274912273240357,2020-08-11
2020-08-12,82.0,6.0,5.71714229339677,0.4183274848826905,2020-08-12
2020-08-13,95.0,7.0,6.6235185106426,0.48804873236313895,2020-08-13
2020-08-14,81.0,7.0,5.647421045916322,0.48804873236313895,2020-08-14
2020-08-15,84.0,4.0,5.856584788357667,0.27888498992179367,2020-08-15
2020-08-16,65.0,9.0,4.531881086229148,0.6274912273240357,2020-08-16
2020-08-17,80.0,4.0,5.577699798435874,0.27888498992179367,2020-08-17
2020-08-18,87.0,3.0,6.065748530799013,0.20916374244134525,2020-08-18
2020-08-19,57.0,12.0,3.97411110638556,0.836654969765381,2020-08-19
2020-08-20,94.0,4.0,6.553797263162151,0.27888498992179367,2020-08-20
2020-08-21,66.0,2.0,4.601602333709596,0.13944249496089683,2020-08-21
2020-08-22,60.0,7.0,4.183274848826906,0.48804873236313895,2020-08-22
2020-08-23,82.0,6.0,5.71714229339677,0.4183274848826905,2020-08-23
2020-08-24,53.0,7.0,3.695226116463766,0.48804873236313895,2020-08-24
2020-08-25,87.0,1.0,6.065748530799013,0.06972124748044842,2020-08-25
2020-08-26,73.0,7.0,5.089651066072735,0.48804873236313895,2020-08-26
2020-08-27,66.0,6.0,4.601602333709596,0.4183274848826905,2020-08-27
2020-08-28,56.0,6.0,3.9043898589051116,0.4183274848826905,2020-08-28
2020-08-29,68.0,7.0,4.741044828670493,0.48804873236313895,2020-08-29
2020-08-30,74.0,1.0,5.159372313553183,0.06972124748044842,2020-08-30
2020-08-31,92.0,8.0,6.414354768201255,0.5577699798435873,2020-08-31
2020-09-01,75.0,4.0,5.229093561033632,0.27888498992179367,2020-09-01
2020-09-02,86.0,4.0,5.996027283318564,0.27888498992179367,2020-09-02
2020-09-03,64.0,9.0,4.462159838748699,0.6274912273240357,2020-09-03
2020-09-04,56.0,8.0,3.9043898589051116,0.5577699798435873,2020-09-04
2020-09-05,63.0,7.0,4.392438591268251,0.48804873236313895,2020-09-05
2020-09-06,67.0,5.0,4.671323581190044,0.3486062374022421,2020-09-06
2020-09-07,49.0,6.0,3.4163411265419725,0.4183274848826905,2020-09-07
2020-09-08,80.0,12.0,5.577699798435874,0.836654969765381,2020-09-08
2020-09-09,37.0,5.0,2.5796861567765914,0.3486062374022421,2020-09-09
2020-09-10,39.0,4.0,2.7191286517374884,0.27888498992179367,2020-09-10
2020-09-11,31.0,8.0,2.161358671893901,0.5577699798435873,2020-09-11
2020-09-12,54.0,6.0,3.7649473639442146,0.4183274848826905,2020-09-12
2020-09-13,34.0,6.0,2.3705224143352464,0.4183274848826905,2020-09-13
2020-09-14,38.0,8.0,2.64940740425704,0.5577699798435873,2020-09-14
2020-09-15,38.0,4.0,2.64940740425704,0.27888498992179367,2020-09-15
2020-09-16,49.0,9.0,3.4163411265419725,0.6274912273240357,2020-09-16
2020-09-17,46.0,6.0,3.2071773841006275,0.4183274848826905,2020-09-17
2020-09-18,41.0,3.0,2.858571146698385,0.20916374244134525,2020-09-18
2020-09-19,36.0,4.0,2.509964909296143,0.27888498992179367,2020-09-19
2020-09-20,60.0,2.0,4.183274848826906,0.13944249496089683,2020-09-20
2020-09-21,42.0,2.0,2.9282923941788335,0.13944249496089683,2020-09-21
2020-09-22,43.0,1.0,2.998013641659282,0.06972124748044842,2020-09-22
2020-09-23,59.0,2.0,4.113553601346457,0.13944249496089683,2020-09-23
2020-09-24,50.0,4.0,3.486062374022421,0.27888498992179367,2020-09-24
2020-09-25,50.0,6.0,3.486062374022421,0.4183274848826905,2020-09-25
2020-09-26,69.0,5.0,4.810766076150941,0.3486062374022421,2020-09-26
2020-09-27,49.0,5.0,3.4163411265419725,0.3486062374022421,2020-09-27
2020-09-28,75.0,3.0,5.229093561033632,0.20916374244134525,2020-09-28
2020-09-29,60.0,2.0,4.183274848826906,0.13944249496089683,2020-09-29
2020-09-30,72.0,3.0,5.019929818592286,0.20916374244134525,2020-09-30
2020-10-01,108.0,4.0,7.529894727888429,0.27888498992179367,2020-10-01
2020-10-02,60.0,2.0,4.183274848826906,0.13944249496089683,2020-10-02
2020-10-03,85.0,11.0,5.926306035838116,0.7669337222849326,2020-10-03
2020-10-04,90.0,1.0,6.274912273240358,0.06972124748044842,2020-10-04
2020-10-05,120.0,5.0,8.366549697653811,0.3486062374022421,2020-10-05
2020-10-06,81.0,4.0,5.647421045916322,0.27888498992179367,2020-10-06
2020-10-07,99.0,4.0,6.902403500564393,0.27888498992179367,2020-10-07
2020-10-08,121.0,3.0,8.43627094513426,0.20916374244134525,2020-10-08
2020-10-09,124.0,5.0,8.645434687575603,0.3486062374022421,2020-10-09
2020-10-10,145.0,2.0,10.109580884665021,0.13944249496089683,2020-10-10
2020-10-11,125.0,3.0,8.715155935056053,0.20916374244134525,2020-10-11
